Time,Speed,RPM,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,X,Y,Z
0 days 00:00:17.940000,196.05,10902.625,4,99.0,False,0,974.0508656032362,0.2954057650290197,-2256.0,-1135.0,843.0
0 days 00:00:18.100000,203.05,10960.125,4,99.0,False,0,983.2888318419384,0.2982074138755264,-2154.0,-1000.0,829.0
0 days 00:00:18.236000,209.0,11009.0,5,99.0,False,0,991.2677777777776,0.3006272327079259,-2118.9464746025315,-951.3973129368736,824.1163664775097
0 days 00:00:18.399000,213.0750016,11324.40512384,5,99.81500032,False,0,1000.9256252497476,0.3035562212461415,-2108.0,-932.0,822.0
0 days 00:00:18.436000,214.0,11396.0,5,100.0,False,0,1003.1566666666664,0.3042328414513586,-2101.481909766848,-921.9462224789216,820.7918725810625
0 days 00:00:18.716000,219.0,11436.0,5,30.0,True,0,1020.19,0.3093986341650805,-2007.167716351272,-783.5818563306117,805.213981916061
0 days 00:00:18.780000,213.13333333333333,11154.933333333332,5,22.0,True,0,1023.8217815209304,0.3105000645282108,-1978.0,-742.0,802.0
0 days 00:00:18.900000,202.13333333333333,10627.933333333334,5,7.0,True,0,1030.3253338439856,0.3124724326223642,-1921.0,-662.0,797.0
0 days 00:00:18.956000,197.0,10382.0,5,0.0,True,0,1033.3233333333333,0.3133816524218444,-1900.3170564025927,-633.9908576132186,794.8504558298728
0 days 00:00:19.080000,190.7999872,9720.1486336,5,0.0,True,0,1039.8938494826054,0.3153743290039952,-1862.0,-585.0,790.0
0 days 00:00:19.116000,189.0,9528.0,5,0.0,True,0,1041.7233333333334,0.3159291666368306,-1848.713655003678,-568.3718092376005,788.4251206115134
0 days 00:00:19.316000,170.0,9376.0,5,0.0,True,0,1051.1677777777777,0.3187934352647911,-1763.769225848234,-463.680866208532,778.9930459470582
0 days 00:00:19.340000,169.1,9448.5,5,0.0,True,0,1052.2772433223035,0.3191299089845193,-1755.0,-453.0,778.0
0 days 00:00:19.556000,161.0,10101.0,5,0.0,True,0,1061.901111111111,0.3220485923172734,-1698.875337661445,-386.0815789507426,771.1303858991654
0 days 00:00:19.819000,133.50453876363636,10004.168158254546,5,0.0,True,0,1070.8310923895788,0.324756836870423,-1652.0,-334.0,767.0
0 days 00:00:19.920000,122.94542778181818,9966.981723927272,5,0.0,True,0,1073.7696737400615,0.3256480366040238,-1629.0,-309.0,766.0
0 days 00:00:19.996000,115.0,9939.0,3,0.0,True,0,1075.9566666666665,0.3263112979812382,-1611.7374935628627,-291.56598774860424,763.8972643480308
0 days 00:00:20.099000,110.70833066666668,9506.113619911112,3,0.0,True,0,1078.8874543038378,0.3272001340725238,-1589.0,-270.0,760.0
0 days 00:00:20.259000,104.041664,8833.669175466666,3,0.0,True,0,1083.3480318782122,0.3285529179746389,-1555.0,-240.0,755.0
0 days 00:00:20.356000,100.0,8426.0,2,0.0,True,0,1085.9566666666665,0.3293440529990788,-1533.7271935229608,-225.65962220050855,752.4780277457428
0 days 00:00:20.916000,89.0,7336.0,2,0.0,True,0,1099.801111111111,0.3335427338348892,-1402.0524078915648,-203.94382363412845,743.1273918304752
0 days 00:00:21.039000,87.15499904,7249.8999552,2,0.0,True,0,1102.7625342684466,0.3344408609289252,-1375.0,-212.0,741.0
0 days 00:00:21.116000,86.0,7196.0,2,0.0,True,0,1104.5788888888887,0.3349917167878575,-1358.6826959193045,-219.3152790380813,739.5654043289634
0 days 00:00:21.239000,83.36428434285715,7012.817761828572,2,0.0,True,0,1107.3806542861485,0.3358414235945927,-1334.0,-234.0,737.0
